Commit date/time,Total,Blank,Legal,Comment,Doc,Test,Wrap,Code,C++ (Total),C++ (Blank),C++ (Legal),C++ (Comment),C++ (Doc),C++ (Test),C++ (Wrap),C++ (Code),Python (Total),Python (Blank),Python (Legal),Python (Comment),Python (Doc),Python (Test),Python (Wrap),Python (Code),CMake (Total),CMake (Blank),CMake (Legal),CMake (Comment),CMake (Doc),CMake (Test),CMake (Wrap),CMake (Code),GLSL (Total),GLSL (Blank),GLSL (Legal),GLSL (Comment),GLSL (Doc),GLSL (Test),GLSL (Wrap),GLSL (Code),Qt Stylesheet (Total),Qt Stylesheet (Blank),Qt Stylesheet (Legal),Qt Stylesheet (Comment),Qt Stylesheet (Doc),Qt Stylesheet (Test),Qt Stylesheet (Wrap),Qt Stylesheet (Code)
2018-08-08T15:40:31+02:00,17008,2143,1887,1378,3896,715,388,6601,15203,1865,1752,1268,3896,0,365,6057,1015,160,135,20,0,700,0,0,347,38,0,51,0,15,23,220,19,4,0,0,0,0,0,15,424,76,0,39,0,0,0,309
2018-08-07T22:11:46+02:00,17016,2150,1887,1383,3893,715,388,6600,15211,1872,1752,1273,3893,0,365,6056,1015,160,135,20,0,700,0,0,347,38,0,51,0,15,23,220,19,4,0,0,0,0,0,15,424,76,0,39,0,0,0,309
2018-08-07T19:28:58+02:00,17010,2151,1887,1383,3892,715,388,6594,15205,1873,1752,1273,3892,0,365,6050,1015,160,135,20,0,700,0,0,347,38,0,51,0,15,23,220,19,4,0,0,0,0,0,15,424,76,0,39,0,0,0,309
2018-08-07T18:46:41+02:00,16868,2129,1887,1383,3819,715,381,6554,15063,1851,1752,1273,3819,0,358,6010,1015,160,135,20,0,700,0,0,347,38,0,51,0,15,23,220,19,4,0,0,0,0,0,15,424,76,0,39,0,0,0,309
2018-08-07T18:42:49+02:00,16868,2129,1887,1383,3819,715,381,6554,15063,1851,1752,1273,3819,0,358,6010,1015,160,135,20,0,700,0,0,347,38,0,51,0,15,23,220,19,4,0,0,0,0,0,15,424,76,0,39,0,0,0,309
2018-08-07T15:23:50+02:00,16804,2124,1887,1383,3770,715,380,6545,14999,1846,1752,1273,3770,0,357,6001,1015,160,135,20,0,700,0,0,347,38,0,51,0,15,23,220,19,4,0,0,0,0,0,15,424,76,0,39,0,0,0,309
2018-08-07T00:03:17+02:00,16521,2105,1887,1324,3770,715,380,6340,14716,1827,1752,1214,3770,0,357,5796,1015,160,135,20,0,700,0,0,347,38,0,51,0,15,23,220,19,4,0,0,0,0,0,15,424,76,0,39,0,0,0,309
2018-08-06T21:44:55+02:00,16522,2106,1887,1324,3770,715,380,6340,14717,1828,1752,1214,3770,0,357,5796,1015,160,135,20,0,700,0,0,347,38,0,51,0,15,23,220,19,4,0,0,0,0,0,15,424,76,0,39,0,0,0,309
2018-08-06T14:40:25+02:00,16389,2094,1887,1313,3770,715,380,6230,14584,1816,1752,1203,3770,0,357,5686,1015,160,135,20,0,700,0,0,347,38,0,51,0,15,23,220,19,4,0,0,0,0,0,15,424,76,0,39,0,0,0,309
2018-08-06T13:43:32+02:00,16360,2093,1887,1309,3768,715,380,6208,14555,1815,1752,1199,3768,0,357,5664,1015,160,135,20,0,700,0,0,347,38,0,51,0,15,23,220,19,4,0,0,0,0,0,15,424,76,0,39,0,0,0,309
2018-08-05T18:43:45+02:00,16335,2089,1887,1305,3763,715,380,6196,14530,1811,1752,1195,3763,0,357,5652,1015,160,135,20,0,700,0,0,347,38,0,51,0,15,23,220,19,4,0,0,0,0,0,15,424,76,0,39,0,0,0,309
2018-08-05T15:08:41+02:00,16104,2070,1857,1216,3726,715,380,6140,14301,1792,1722,1106,3726,0,357,5598,1015,160,135,20,0,700,0,0,345,38,0,51,0,15,23,218,19,4,0,0,0,0,0,15,424,76,0,39,0,0,0,309
2018-08-03T22:33:57+02:00,16089,2069,1857,1202,3726,715,380,6140,14286,1791,1722,1092,3726,0,357,5598,1015,160,135,20,0,700,0,0,345,38,0,51,0,15,23,218,19,4,0,0,0,0,0,15,424,76,0,39,0,0,0,309
2018-08-03T16:44:13+02:00,15844,2042,1857,1151,3723,710,379,5982,14048,1766,1722,1041,3723,0,356,5440,1008,158,135,20,0,695,0,0,345,38,0,51,0,15,23,218,19,4,0,0,0,0,0,15,424,76,0,39,0,0,0,309
2018-08-03T16:28:13+02:00,15829,2036,1857,1151,3722,710,379,5974,14033,1760,1722,1041,3722,0,356,5432,1008,158,135,20,0,695,0,0,345,38,0,51,0,15,23,218,19,4,0,0,0,0,0,15,424,76,0,39,0,0,0,309
2018-08-03T16:25:03+02:00,15829,2036,1857,1151,3722,710,379,5974,14033,1760,1722,1041,3722,0,356,5432,1008,158,135,20,0,695,0,0,345,38,0,51,0,15,23,218,19,4,0,0,0,0,0,15,424,76,0,39,0,0,0,309
2018-08-02T22:11:48+02:00,15830,2037,1857,1151,3722,710,379,5974,14034,1761,1722,1041,3722,0,356,5432,1008,158,135,20,0,695,0,0,345,38,0,51,0,15,23,218,19,4,0,0,0,0,0,15,424,76,0,39,0,0,0,309
2018-08-02T22:08:08+02:00,15831,2038,1857,1151,3722,710,379,5974,14034,1761,1722,1041,3722,0,356,5432,1009,159,135,20,0,695,0,0,345,38,0,51,0,15,23,218,19,4,0,0,0,0,0,15,424,76,0,39,0,0,0,309
2018-08-02T18:31:21+02:00,15691,2014,1857,1143,3697,658,377,5945,13967,1752,1722,1039,3697,0,354,5403,936,144,135,14,0,643,0,0,345,38,0,51,0,15,23,218,19,4,0,0,0,0,0,15,424,76,0,39,0,0,0,309
2018-08-02T18:15:53+02:00,15732,2020,1857,1147,3709,658,377,5964,14008,1758,1722,1043,3709,0,354,5422,936,144,135,14,0,643,0,0,345,38,0,51,0,15,23,218,19,4,0,0,0,0,0,15,424,76,0,39,0,0,0,309
2018-08-02T18:07:37+02:00,15732,2020,1857,1147,3709,658,377,5964,14008,1758,1722,1043,3709,0,354,5422,936,144,135,14,0,643,0,0,345,38,0,51,0,15,23,218,19,4,0,0,0,0,0,15,424,76,0,39,0,0,0,309
